Line,Time,Value
line_4003_4040,1,-138.71705374475926
line_4003_4040,2,-139.22555245085397
line_4003_4040,3,-139.50006400577269
line_4003_4040,4,-139.86039324346413
line_4003_4040,5,-139.63846755002206
line_4003_4040,6,-142.01469737207083
line_4003_4040,7,-140.73856539305135
line_4003_4040,8,-137.11256202798404
line_4003_4040,9,-132.83664410672753
line_4003_4040,10,-128.94923020560566
line_4003_4040,11,-94.26111366823338
line_4003_4040,12,-88.71145588368341
line_4003_4040,13,-85.44990071317976
line_4003_4040,14,-81.67276263245358
line_4003_4040,15,-78.85031730084003
line_4003_4040,16,-108.00680151178364
line_4003_4040,17,-106.902463030353
line_4003_4040,18,-109.83848760230723
line_4003_4040,19,-115.77491337741372
line_4003_4040,20,-115.11167976198158
line_4003_4040,21,-113.37881890215978
line_4003_4040,22,-109.25673386379867
line_4003_4040,23,-101.73521656027123
line_4003_4040,24,-97.43378899727418
line_4103_4003,1,72.8198013900018
line_4103_4003,2,73.10501867866567
line_4103_4003,3,73.19998687222963
line_4103_4003,4,73.08640196178075
line_4103_4003,5,71.59212412331388
line_4103_4003,6,71.56295403343216
line_4103_4003,7,67.3337513819325
line_4103_4003,8,62.17389524394987
line_4103_4003,9,56.37639775762837
line_4103_4003,10,50.17883106976631
line_4103_4003,11,37.5852120438109
line_4103_4003,12,38.61516599368429
line_4103_4003,13,38.12523630533916
line_4103_4003,14,37.45490927321124
line_4103_4003,15,36.92955460037033
line_4103_4003,16,45.177427551449924
line_4103_4003,17,47.49980618742042
line_4103_4003,18,52.75246667066
line_4103_4003,19,55.37268189038059
line_4103_4003,20,55.11873390335927
line_4103_4003,21,54.36151831374818
line_4103_4003,22,52.53877985127096
line_4103_4003,23,49.29522396381234
line_4103_4003,24,45.593712575892695
line_4003_4017,1,-18.401112600180216
line_4003_4017,2,-18.599930022713963
line_4003_4017,3,-18.523801892552
line_4003_4017,4,-18.339030963797967
line_4003_4017,5,-18.10545062848537
line_4003_4017,6,-17.880004729386812
line_4003_4017,7,-17.284911249366885
line_4003_4017,8,-16.755032506546726
line_4003_4017,9,-16.189844747941336
line_4003_4017,10,-15.530979557164883
line_4003_4017,11,-32.86399389519885
line_4003_4017,12,-37.982761226800896
line_4003_4017,13,-39.3046787901577
line_4003_4017,14,-40.74482711126868
line_4003_4017,15,-41.78555535020028
line_4003_4017,16,-26.516744892381578
line_4003_4017,17,-30.6650426109514
line_4003_4017,18,-36.53931492445828
line_4003_4017,19,-36.431677729898226
line_4003_4017,20,-36.441785987463234
line_4003_4017,21,-36.44531671151254
line_4003_4017,22,-36.48651043293721
line_4003_4017,23,-36.66187530345662
line_4003_4017,24,-33.94274415710532
line_4003_4085,1,-5.454709778055748
line_4003_4085,2,-5.462358499643386
line_4003_4085,3,-5.458665034352876
line_4003_4085,4,-5.468082004870584
line_4003_4085,5,-5.570954984554661
line_4003_4085,6,-5.6417115464122585
line_4003_4085,7,-5.911281863916488
line_4003_4085,8,-6.180212607802048
line_4003_4085,9,-6.466954271425195
line_4003_4085,10,-6.784227583859071
line_4003_4085,11,-12.723177928564295
line_4003_4085,12,-14.297153286198055
line_4003_4085,13,-14.736331174315286
line_4003_4085,14,-15.185831658616209
line_4003_4085,15,-15.510424879385873
line_4003_4085,16,-9.930021459263923
line_4003_4085,17,-11.208418963614449
line_4003_4085,18,-13.015813566935472
line_4003_4085,19,-13.055168439821916
line_4003_4085,20,-13.08019555403732
line_4003_4085,21,-13.079950269715152
line_4003_4085,22,-13.056774094662869
line_4003_4085,23,-13.056304059575858
line_4003_4085,24,-12.232154050886088
line_4079_4040,1,-268.17671053501493
line_4079_4040,2,-271.0604820499865
line_4079_4040,3,-270.794293151307
line_4079_4040,4,-270.0810420722015
line_4079_4040,5,-270.35855950396444
line_4079_4040,6,-274.60570373320877
line_4079_4040,7,-274.38803691589595
line_4079_4040,8,-270.4939794480248
line_4079_4040,9,-266.1625988963909
line_4079_4040,10,-263.1038100357894
line_4079_4040,11,-248.17482148988688
line_4079_4040,12,-244.454713485527
line_4079_4040,13,-239.2426679129104
line_4079_4040,14,-234.13730312401262
line_4079_4040,15,-230.2949835670264
line_4079_4040,16,-260.6611124376201
line_4079_4040,17,-263.4290362456411
line_4079_4040,18,-275.2383295146043
