Node,Time,Value
bus_1001,1,0.0
bus_1001,2,0.0
bus_1001,3,0.0
bus_1001,4,0.0
bus_1001,5,0.0
bus_1001,6,0.0
bus_1001,7,0.0
bus_1001,8,0.0
bus_1001,9,0.0
bus_1001,10,0.0
bus_1001,11,0.0
bus_1001,12,0.0
bus_1001,13,0.0
bus_1001,14,0.0
bus_1001,15,0.0
bus_1001,16,0.0
bus_1001,17,0.0
bus_1001,18,0.0
bus_1001,19,0.0
bus_1001,20,0.0
bus_1001,21,0.0
bus_1001,22,0.0
bus_1001,23,0.0
bus_1001,24,0.0
bus_1081,1,0.0
bus_1081,2,0.0
bus_1081,3,0.0
bus_1081,4,0.0
bus_1081,5,0.0
bus_1081,6,0.0
bus_1081,7,0.0
bus_1081,8,0.046399783580209464
bus_1081,9,0.12806367368305094
bus_1081,10,0.20603828875343666
bus_1081,11,0.22793228155170286
bus_1081,12,0.224350588462022
bus_1081,13,0.0
bus_1081,14,0.0
bus_1081,15,0.0
bus_1081,16,0.0
bus_1081,17,0.0
bus_1081,18,0.0
bus_1081,19,0.0
bus_1081,20,0.0
bus_1081,21,0.0
bus_1081,22,0.0
bus_1081,23,0.0
bus_1081,24,0.0
bus_2001,1,-1.3291244548110304
bus_2001,2,-1.3275021239942475
bus_2001,3,-1.328732978989009
bus_2001,4,-1.33179591713166
bus_2001,5,-1.3371658605149481
bus_2001,6,-1.3450712204794224
bus_2001,7,-1.3430611352079722
bus_2001,8,-1.2989847204944909
bus_2001,9,-1.2133374361391747
bus_2001,10,-1.1315691382992652
bus_2001,11,-0.8247869347194218
bus_2001,12,-0.4668770083745981
bus_2001,13,-1.2011737868828987
bus_2001,14,-1.2025393515682599
bus_2001,15,-1.2019897944215432
bus_2001,16,-1.1964651513320923
bus_2001,17,-1.2324896477698135
bus_2001,18,-1.2286361384623297
bus_2001,19,-1.22318570094765
bus_2001,20,-1.2200946274062523
bus_2001,21,-1.219714778939854
bus_2001,22,-1.222911798473243
bus_2001,23,-1.223649854905606
bus_2001,24,-1.223749244798888
bus_2008,1,4.440892098500626e-16
bus_2008,2,4.440892098500626e-16
bus_2008,3,4.440892098500626e-16
bus_2008,4,4.440892098500626e-16
bus_2008,5,4.440892098500626e-16
bus_2008,6,4.440892098500626e-16
bus_2008,7,4.440892098500626e-16
bus_2008,8,0.046399783580209464
bus_2008,9,0.12806367368305094
bus_2008,10,0.20603828875343666
bus_2008,11,0.5398332928330414
bus_2008,12,0.8398032383437672
bus_2008,13,4.440892098500626e-16
bus_2008,14,4.440892098500626e-16
bus_2008,15,4.440892098500626e-16
bus_2008,16,4.440892098500626e-16
bus_2008,17,4.440892098500626e-16
bus_2008,18,-0.09962416253720074
bus_2008,19,-0.6740618937677535
bus_2008,20,-1.2178243135931575
bus_2008,21,-1.4450005882469512
bus_2008,22,-1.3310924703627571
bus_2008,23,-1.3711400551665625
bus_2008,24,-1.5711843413328994
bus_3002,1,-1.3341524215017257
bus_3002,2,-1.3310460945249125
bus_3002,3,-1.3303228340358833
bus_3002,4,-1.328043278053647
bus_3002,5,-1.319804080287452
bus_3002,6,-1.3035237057346742
bus_3002,7,-1.2884162613400016
bus_3002,8,-1.2385375868704347
bus_3002,9,-1.1655522689503215
bus_3002,10,-1.101942228599346
bus_3002,11,-1.124630180709993
bus_3002,12,-1.021546216525903
bus_3002,13,-1.0952234708084505
bus_3002,14,-1.0503743528047298
bus_3002,15,-1.0264443856128318
bus_3002,16,-1.0009470795749877
bus_3002,17,-1.0890447621308028
bus_3002,18,-0.7680333696321713
bus_3002,19,-0.7189576867638875
bus_3002,20,-0.7257665002313083
bus_3002,21,-0.7039196523645322
bus_3002,22,-0.6504014672912566
bus_3002,23,-0.8894950901649487
bus_3002,24,-1.0019609894122055
bus_3006,1,0.0
bus_3006,2,0.0
bus_3006,3,0.0
bus_3006,4,0.0
bus_3006,5,0.0
