Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
SNYDER_NG,10043,NG (Natural Gas),153.89999999999998,46.17,8.580219151
MONAHANS_NG,10813,NG (Natural Gas),178.8,53.64,9.064088101
IRAAN_NG,10813,NG (Natural Gas),7.6,2.28,8.396596830499998
ODESSA_NG,10813,NG (Natural Gas),286.5,85.95,9.472957292
MONAHANS_NG_2,10483,NG (Natural Gas),918.5999999999999,275.58,9.082807413400001
ODESSA_NG_3,10013,NG (Natural Gas),1343.78,403.13999999999993,9.02221595475
ODESSA_NG_4,30483,NG (Natural Gas),95.5,28.65,8.748815472
SILVER_NG,30483,NG (Natural Gas),90.7,27.21,8.556191043
PALOPINTO_NG,30483,NG (Natural Gas),481.6,144.48000000000002,8.841279037
SAVOY_NG,20043,NG (Natural Gas),1175.4,352.62,9.875384616
PARIS_NG,81293,NG (Natural Gas),1173.6000000000001,352.04999999999995,9.019790517857144
GREENVILLE_NG,81293,NG (Natural Gas),84.7,25.41,8.704928336
MOUNTPLEASANT_C,81293,BIT (Bituminous Coal),1980.0,594.0,11.45183246
WICHITAFALLS_C,20573,BIT (Bituminous Coal),726.0,217.8,10.861733985
WICHITAFALLS_NG,20573,NG (Natural Gas),80.0,24.0,8.483630628333332
DENTON_NG,50073,NG (Natural Gas),128.1,38.43,8.625638084
SHERMAN_NG,21033,NG (Natural Gas),803.19,240.95999999999998,9.402861909
PARIS_NG_5,21153,NG (Natural Gas),184.72,55.41,9.084062844
SILVER_NG_6,30453,NG (Natural Gas),447.0,134.1,10.08306813
BASTROP_NG,63493,NG (Natural Gas),1233.99,370.2,9.3213568864
AUSTIN_NG,63493,NG (Natural Gas),1659.1999999999998,497.75999999999993,8.804684883466667
CHRISTINE_C,40263,BIT (Bituminous Coal),410.0,123.0,10.95506536
PEARSALL_NG,40263,NG (Natural Gas),267.6,80.28,8.553614325333333
FANNIN_C,40303,BIT (Bituminous Coal),622.4,186.72,11.37436975
SANTAROSA_C,41943,BIT (Bituminous Coal),200.5,60.14999999999999,10.187324928888888
BISHOP_NG,40173,NG (Natural Gas),44.2,13.26,8.553252145
CORPUSCHRISTI_NG,40173,NG (Natural Gas),47.0,14.1,8.563404373
GREGORY_NG,41813,NG (Natural Gas),776.6600000000001,233.0,8.976600055
CORPUSCHRISTI_NG_7,41813,NG (Natural Gas),602.3100000000001,180.69,8.95680321025
GREGORY_NG_8,40613,NG (Natural Gas),172.33,51.7,9.040559092
MISSION_NG,40753,NG (Natural Gas),176.33,52.9,9.054806612
