Generator,Type,Time,Value
WICHITAFALLS,Coal,1,0.0
WICHITAFALLS,Coal,2,0.0
WICHITAFALLS,Coal,3,0.0
WICHITAFALLS,Coal,4,0.0
WICHITAFALLS,Coal,5,0.0
WICHITAFALLS,Coal,6,0.0
WICHITAFALLS,Coal,7,0.0
WICHITAFALLS,Coal,8,0.0
WICHITAFALLS,Coal,9,0.0
WICHITAFALLS,Coal,10,0.0
WICHITAFALLS,Coal,11,0.0
WICHITAFALLS,Coal,12,0.0
WICHITAFALLS,Coal,13,0.0
WICHITAFALLS,Coal,14,0.0
WICHITAFALLS,Coal,15,0.0
WICHITAFALLS,Coal,16,218.5622425140221
WICHITAFALLS,Coal,17,484.5422425140221
WICHITAFALLS,Coal,18,750.5222425140221
WICHITAFALLS,Coal,19,806.0
WICHITAFALLS,Coal,20,806.0
WICHITAFALLS,Coal,21,806.0
WICHITAFALLS,Coal,22,806.0
WICHITAFALLS,Coal,23,806.0
WICHITAFALLS,Coal,24,806.0
ROCKDALE,Coal,1,0.0
ROCKDALE,Coal,2,0.0
ROCKDALE,Coal,3,0.0
ROCKDALE,Coal,4,0.0
ROCKDALE,Coal,5,0.0
ROCKDALE,Coal,6,0.0
ROCKDALE,Coal,7,0.0
ROCKDALE,Coal,8,0.0
ROCKDALE,Coal,9,0.0
ROCKDALE,Coal,10,0.0
ROCKDALE,Coal,11,0.0
ROCKDALE,Coal,12,0.0
ROCKDALE,Coal,13,0.0
ROCKDALE,Coal,14,0.0
ROCKDALE,Coal,15,0.0
ROCKDALE,Coal,16,0.0
ROCKDALE,Coal,17,0.0
ROCKDALE,Coal,18,0.0
ROCKDALE,Coal,19,0.0
ROCKDALE,Coal,20,0.0
ROCKDALE,Coal,21,0.0
ROCKDALE,Coal,22,0.0
ROCKDALE,Coal,23,0.0
ROCKDALE,Coal,24,0.0
CHRISTINE,Coal,1,0.0
CHRISTINE,Coal,2,0.0
CHRISTINE,Coal,3,0.0
CHRISTINE,Coal,4,0.0
CHRISTINE,Coal,5,0.0
CHRISTINE,Coal,6,0.0
CHRISTINE,Coal,7,0.0
CHRISTINE,Coal,8,0.0
CHRISTINE,Coal,9,0.0
CHRISTINE,Coal,10,0.0
CHRISTINE,Coal,11,0.0
CHRISTINE,Coal,12,0.0
CHRISTINE,Coal,13,0.0
CHRISTINE,Coal,14,0.0
CHRISTINE,Coal,15,0.0
CHRISTINE,Coal,16,0.0
