Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ODESSA,5262,NG (Natural Gas),95.5,28.65,4.770346495
WICHITAFALLS,5262,BIT (Bituminous Coal),806.0,241.8,6.2099920678
SILVER,5262,NG (Natural Gas),537.7,161.31,4.942829919
ALEDO,5262,NG (Natural Gas),4.8,1.44,4.579868081
GRAHAM,5262,NG (Natural Gas),634.7,190.4,5.230857471
GLENROSE,5262,NUC (Nuclear),2430.0,729.0,7.92
GRANBURY,5262,NG (Natural Gas),1146.0000000000002,343.8,4.911661257142858
PALOPINTO,5262,NG (Natural Gas),603.6,181.07999999999998,4.8213363924
MONAHANS,1001,NG (Natural Gas),1097.3999999999999,329.21999999999997,4.950756558333333
ODESSA_2,1001,NG (Natural Gas),1630.28,489.0899999999999,4.946727549444445
SAVOY,5084,NG (Natural Gas),1175.4,352.62,5.384615385
SHERMAN,5084,NG (Natural Gas),803.19,240.95999999999998,5.126969416
PARIS,2001,NG (Natural Gas),1358.3200000000002,407.4599999999999,4.92247794925
DENTON,5007,NG (Natural Gas),128.1,38.43,4.7031832520000005
POOLVILLE,5007,NG (Natural Gas),746.01,223.79999999999998,5.087467737
BRIDGEPORT,5007,NG (Natural Gas),1290.38,387.12,4.952681388
BASTROP,6018,NG (Natural Gas),1233.99,370.2,5.0825282914
MARION,6018,NG (Natural Gas),1088.22,326.4599999999999,4.946177201
ROCKDALE,6018,BIT (Bituminous Coal),1252.1,375.63,9.0
CEDARCREEK,6018,NG (Natural Gas),618.6899999999999,185.64,4.998619928
NEWBRAUNFELS,6018,NG (Natural Gas),992.2,297.68,4.9831631248
MISSION,4040,NG (Natural Gas),528.99,158.7,4.937190083
LAREDO,4040,NG (Natural Gas),263.6,79.08,4.844628099
CHRISTINE,6199,BIT (Bituminous Coal),410.0,123.0,8.660130719
PEARSALL,6199,NG (Natural Gas),267.6,80.28,4.663911845833334
SANANTONIO,6199,NG (Natural Gas),247.0,74.1,4.643812922285714
FANNIN,7098,BIT (Bituminous Coal),622.4,186.72,8.991596639
NURSERY,7098,NG (Natural Gas),215.2,64.56,4.6603930253999994
VICTORIA,7098,NG (Natural Gas),479.29999999999995,143.78,4.902666297333333
POINTCOMFORT,7098,NG (Natural Gas),1062.5,318.75,4.84742596175
WADSWORTH,7098,NUC (Nuclear),2708.6,812.58,7.68
WHARTON,7098,NG (Natural Gas),580.09,174.01,4.8120675338
CORPUSCHRISTI,4071,NG (Natural Gas),730.2,219.06,5.076114033
SANTAROSA,4071,BIT (Bituminous Coal),200.5,60.14999999999999,8.053221288777777
BROWNSVILLE,4071,NG (Natural Gas),1522.71,456.80999999999995,4.8870744533999995
BISHOP,4017,NG (Natural Gas),44.2,13.26,4.663714365
GREGORY,4017,NG (Natural Gas),948.9900000000001,284.7,4.9003598114999996
CORPUSCHRISTI_3,4017,NG (Natural Gas),1001.31,300.38999999999993,4.9174278068333335
DALLAS,5385,NG (Natural Gas),1861.42,558.4200000000001,5.053905307499999
ENNIS,5385,NG (Natural Gas),418.0,125.4,5.006031363
MIDLOTHIAN,5385,NG (Natural Gas),2016.6,604.98,5.093710692
GREENVILLE,5103,NG (Natural Gas),84.7,25.41,4.746416759
MCKINNEY,5103,NG (Natural Gas),1358.4,407.53,4.9744054182857145
MTENTERPRISE,5103,NG (Natural Gas),939.6,281.88,5.057297949
MOUNTPLEASANT,5103,BIT (Bituminous Coal),1980.0,594.0,9.052831985
ARLINGTON,5323,NG (Natural Gas),1327.21,398.15999999999997,5.121881273600001
IRVING,5323,BIT (Bituminous Coal),16.5,4.95,8.029897367
DALLAS_4,5323,NG (Natural Gas),852.21,255.66,5.159831122
TEMPLE,5011,NG (Natural Gas),803.19,240.95999999999998,5.127044025
RIESEL,5011,BIT (Bituminous Coal),1008.0,302.4,9.60068699
FRANKLIN,5011,BIT (Bituminous Coal),1795.4,538.62,9.424645771
BREMOND,5011,BIT (Bituminous Coal),349.2,104.76,8.291112065
LEWSIVILLE,5465,NG (Natural Gas),15.600000000000001,4.68,4.5870375679999995
LAGRANGE,6005,BIT (Bituminous Coal),1689.9900000000002,507.0,8.902050114
WINCHESTER,6005,NG (Natural Gas),242.0,72.6,4.739166436666667
SANANTONIO_5,6147,NG (Natural Gas),3276.4,982.9200000000001,5.704727921500001
SEGUIN,6147,NG (Natural Gas),940.2,282.08,5.059343086
ELMENDORF,6147,NG (Natural Gas),1687.9899999999998,506.40000000000003,5.008548914625
PASADENA,7127,NG (Natural Gas),1273.2,381.96000000000004,5.899402357428571
BAYTOWN,7127,NG (Natural Gas),1091.8999999999999,327.55000000000007,2.0183262064000003
DEERPARK,7127,NG (Natural Gas),1428.0,428.40000000000003,4.900902735555556
LAPORTE,7127,NG (Natural Gas),1459.2,437.7799999999999,4.874465485499999
HOUSTON,7127,NG (Natural Gas),1914.8000000000002,574.4200000000001,4.8194105070625
MONTBELVIEU,7127,NG (Natural Gas),40.7,12.21,4.61362248
FREEPORT,7127,NG (Natural Gas),1528.74,458.6300000000001,4.7829362654
CHANNELVIEW,7127,NG (Natural Gas),1561.92,468.5800000000001,4.864497139818183
ALVIN,7127,NG (Natural Gas),1508.9,452.66999999999996,4.856167046181818
HOUSTON_6,7004,NG (Natural Gas),4.0,1.2,4.578497251
LAPORTE_7,7004,NG (Natural Gas),176.4,52.92,4.75565058
HOUSTON_8,7248,NG (Natural Gas),8.0,2.4000000000000004,4.580024435
HOUSTON_9,7170,NG (Natural Gas),1189.91,356.98,4.845924116333332
WILLIS,7170,NG (Natural Gas),542.8,162.84,5.696395846
