name,typ,node,maxcap,losscap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ODESSA,ngcc,bus_5262,95.5,95.5,4.770346495,28.65,3,286.5,6685.0,95.5,4,4
WICHITAFALLS,coal,bus_5262,806.0,806.0,6.2099920678,241.8,4,2418.0,56420.0,265.98,12,12
SILVER,ngcc,bus_5262,537.7,537.7,4.942829919,161.31,3,1613.1000000000001,37639.0,537.7,4,4
ALEDO,ngcc,bus_5262,4.8,4.8,4.579868081,1.44,3,14.399999999999999,336.0,4.8,4,4
GRAHAM,ngcc,bus_5262,634.7,634.7,5.230857471,190.4,3,1904.1000000000001,44429.0,634.7,4,4
GRANBURY,ngcc,bus_5262,1146.0000000000002,1146.0000000000002,4.911661257142858,343.8,3,3438.000000000001,80220.00000000001,1146.0000000000002,4,4
PALOPINTO,ngcc,bus_5262,603.6,603.6,4.8213363924,181.08,3,1810.8000000000002,42252.0,603.6,4,4
MONAHANS,ngcc,bus_1001,1097.4,1097.4,4.950756558333333,329.22,3,3292.2000000000003,76818.0,1097.4,4,4
ODESSA_2,ngcc,bus_1001,1630.28,1630.28,4.946727549444445,489.0899999999999,3,4890.84,114119.59999999999,1630.28,4,4
SAVOY,ngcc,bus_5084,1175.4,1175.4,5.384615385,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
SHERMAN,ngcc,bus_5084,803.19,803.19,5.126969416,240.96,3,2409.57,56223.3,803.19,4,4
PARIS,ngcc,bus_2001,1358.3200000000002,1358.3200000000002,4.92247794925,407.4599999999999,3,4074.9600000000005,95082.40000000001,1358.3200000000002,4,4
DENTON,ngcc,bus_5007,128.1,128.1,4.7031832520000005,38.43,3,384.29999999999995,8967.0,128.1,4,4
POOLVILLE,ngcc,bus_5007,746.01,746.01,5.087467737,223.8,3,2238.0299999999997,52220.7,746.01,4,4
BRIDGEPORT,ngcc,bus_5007,1290.38,1290.38,4.952681388,387.12,3,3871.1400000000003,90326.6,1290.38,4,4
BASTROP,ngcc,bus_6018,1233.99,1233.99,5.0825282914,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
MARION,ngcc,bus_6018,1088.22,1088.22,4.946177201,326.4599999999999,3,3264.66,76175.40000000001,1088.22,4,4
ROCKDALE,coal,bus_6018,1252.1,1252.1,9.0,375.63,4,3756.2999999999997,87647.0,413.193,12,12
CEDARCREEK,ngcc,bus_6018,618.6899999999999,618.6899999999999,4.998619928,185.64,3,1856.0699999999997,43308.299999999996,618.6899999999999,4,4
NEWBRAUNFELS,ngcc,bus_6018,992.2,992.2,4.9831631248,297.68,3,2976.6000000000004,69454.0,992.2,4,4
MISSION,ngcc,bus_4040,528.99,528.99,4.937190083,158.7,3,1586.97,37029.3,528.99,4,4
LAREDO,ngcc,bus_4040,263.6,263.6,4.844628099,79.08,3,790.8000000000001,18452.0,263.6,4,4
CHRISTINE,coal,bus_6199,410.0,410.0,8.660130719,123.0,4,1230.0,28700.0,135.3,12,12
PEARSALL,ngcc,bus_6199,267.6,267.6,4.663911845833334,80.28,3,802.8000000000001,18732.0,267.6,4,4
SANANTONIO,ngcc,bus_6199,247.0,247.0,4.643812922285714,74.1,3,741.0,17290.0,247.0,4,4
FANNIN,coal,bus_7098,622.4,622.4,8.991596639,186.72,4,1867.1999999999998,43568.0,205.392,12,12
NURSERY,ngcc,bus_7098,215.2,215.2,4.6603930254,64.56,3,645.5999999999999,15064.0,215.2,4,4
VICTORIA,ngcc,bus_7098,479.3,479.3,4.902666297333333,143.78,3,1437.9,33551.0,479.3,4,4
