Generator,Type,Time,Value
MOUNTPLEASANT_C,Coal,1,1980.0
MOUNTPLEASANT_C,Coal,2,1980.0
MOUNTPLEASANT_C,Coal,3,1980.0
MOUNTPLEASANT_C,Coal,4,1980.0
MOUNTPLEASANT_C,Coal,5,1980.0
MOUNTPLEASANT_C,Coal,6,1980.0
MOUNTPLEASANT_C,Coal,7,1980.0
MOUNTPLEASANT_C,Coal,8,1980.0
MOUNTPLEASANT_C,Coal,9,1980.0
MOUNTPLEASANT_C,Coal,10,1980.0
MOUNTPLEASANT_C,Coal,11,1980.0
MOUNTPLEASANT_C,Coal,12,1980.0
MOUNTPLEASANT_C,Coal,13,1980.0
MOUNTPLEASANT_C,Coal,14,1980.0
MOUNTPLEASANT_C,Coal,15,1980.0
MOUNTPLEASANT_C,Coal,16,1980.0
MOUNTPLEASANT_C,Coal,17,1980.0
MOUNTPLEASANT_C,Coal,18,1980.0
MOUNTPLEASANT_C,Coal,19,1980.0
MOUNTPLEASANT_C,Coal,20,1980.0
MOUNTPLEASANT_C,Coal,21,1980.0
MOUNTPLEASANT_C,Coal,22,1980.0
MOUNTPLEASANT_C,Coal,23,1980.0
MOUNTPLEASANT_C,Coal,24,1980.0
WICHITAFALLS_C,Coal,1,334.7108461187333
WICHITAFALLS_C,Coal,2,334.7108461187333
WICHITAFALLS_C,Coal,3,334.7108461187333
WICHITAFALLS_C,Coal,4,334.7108461187333
WICHITAFALLS_C,Coal,5,252.4062384763333
WICHITAFALLS_C,Coal,6,12.826238476333288
WICHITAFALLS_C,Coal,7,252.4062384763333
WICHITAFALLS_C,Coal,8,284.4170782493333
WICHITAFALLS_C,Coal,9,284.4170782493333
WICHITAFALLS_C,Coal,10,284.4170782493333
WICHITAFALLS_C,Coal,11,284.4170782493333
WICHITAFALLS_C,Coal,12,284.4170782493333
WICHITAFALLS_C,Coal,13,284.4170782493333
WICHITAFALLS_C,Coal,14,284.4170782493333
WICHITAFALLS_C,Coal,15,259.3853708321333
WICHITAFALLS_C,Coal,16,259.3853708321333
WICHITAFALLS_C,Coal,17,362.2935008689333
WICHITAFALLS_C,Coal,18,362.2935008689333
WICHITAFALLS_C,Coal,19,362.2935008689333
WICHITAFALLS_C,Coal,20,362.2935008689333
WICHITAFALLS_C,Coal,21,362.2935008689333
WICHITAFALLS_C,Coal,22,362.2935008689333
WICHITAFALLS_C,Coal,23,362.2935008689333
WICHITAFALLS_C,Coal,24,299.3303106009334
CHRISTINE_C,Coal,1,0.0
CHRISTINE_C,Coal,2,0.0
CHRISTINE_C,Coal,3,0.0
CHRISTINE_C,Coal,4,0.0
CHRISTINE_C,Coal,5,0.0
CHRISTINE_C,Coal,6,0.0
CHRISTINE_C,Coal,7,0.0
CHRISTINE_C,Coal,8,0.0
CHRISTINE_C,Coal,9,0.0
CHRISTINE_C,Coal,10,0.0
CHRISTINE_C,Coal,11,0.0
CHRISTINE_C,Coal,12,0.0
CHRISTINE_C,Coal,13,0.0
CHRISTINE_C,Coal,14,0.0
CHRISTINE_C,Coal,15,0.0
CHRISTINE_C,Coal,16,0.0
CHRISTINE_C,Coal,17,0.0
CHRISTINE_C,Coal,18,0.0
CHRISTINE_C,Coal,19,0.0
CHRISTINE_C,Coal,20,0.0
CHRISTINE_C,Coal,21,0.0
CHRISTINE_C,Coal,22,0.0
CHRISTINE_C,Coal,23,0.0
CHRISTINE_C,Coal,24,0.0
FANNIN_C,Coal,1,231.11084611873326
FANNIN_C,Coal,2,231.11084611873326
FANNIN_C,Coal,3,231.11084611873326
FANNIN_C,Coal,4,231.11084611873326
FANNIN_C,Coal,5,205.392
FANNIN_C,Coal,6,0.0
FANNIN_C,Coal,7,180.8170782493333
FANNIN_C,Coal,8,180.8170782493333
FANNIN_C,Coal,9,180.8170782493333
FANNIN_C,Coal,10,180.8170782493333
FANNIN_C,Coal,11,180.8170782493333
FANNIN_C,Coal,12,180.8170782493333
FANNIN_C,Coal,13,180.8170782493333
FANNIN_C,Coal,14,180.8170782493333
FANNIN_C,Coal,15,155.78537083213325
FANNIN_C,Coal,16,155.78537083213325
FANNIN_C,Coal,17,258.69350086893326
FANNIN_C,Coal,18,258.69350086893326
FANNIN_C,Coal,19,258.69350086893326
FANNIN_C,Coal,20,258.69350086893326
FANNIN_C,Coal,21,258.69350086893326
FANNIN_C,Coal,22,258.69350086893326
FANNIN_C,Coal,23,258.69350086893326
FANNIN_C,Coal,24,195.73031060093336
SANTAROSA_C,Coal,1,0.0
SANTAROSA_C,Coal,2,0.0
SANTAROSA_C,Coal,3,0.0
SANTAROSA_C,Coal,4,0.0
SANTAROSA_C,Coal,5,0.0
SANTAROSA_C,Coal,6,0.0
SANTAROSA_C,Coal,7,0.0
SANTAROSA_C,Coal,8,0.0
SANTAROSA_C,Coal,9,0.0
SANTAROSA_C,Coal,10,0.0
SANTAROSA_C,Coal,11,0.0
SANTAROSA_C,Coal,12,0.0
SANTAROSA_C,Coal,13,0.0
SANTAROSA_C,Coal,14,0.0
SANTAROSA_C,Coal,15,0.0
SANTAROSA_C,Coal,16,0.0
SANTAROSA_C,Coal,17,0.0
SANTAROSA_C,Coal,18,0.0
SANTAROSA_C,Coal,19,0.0
SANTAROSA_C,Coal,20,0.0
SANTAROSA_C,Coal,21,0.0
SANTAROSA_C,Coal,22,0.0
SANTAROSA_C,Coal,23,0.0
SANTAROSA_C,Coal,24,0.0
SANTAROSA_C_12,Coal,1,28.0
SANTAROSA_C_12,Coal,2,28.0
SANTAROSA_C_12,Coal,3,28.0
SANTAROSA_C_12,Coal,4,28.0
SANTAROSA_C_12,Coal,5,28.0
SANTAROSA_C_12,Coal,6,28.0
SANTAROSA_C_12,Coal,7,28.0
SANTAROSA_C_12,Coal,8,28.0
SANTAROSA_C_12,Coal,9,28.0
SANTAROSA_C_12,Coal,10,28.0
SANTAROSA_C_12,Coal,11,28.0
SANTAROSA_C_12,Coal,12,28.0
SANTAROSA_C_12,Coal,13,28.0
SANTAROSA_C_12,Coal,14,28.0
SANTAROSA_C_12,Coal,15,28.0
SANTAROSA_C_12,Coal,16,28.0
SANTAROSA_C_12,Coal,17,28.0
SANTAROSA_C_12,Coal,18,28.0
SANTAROSA_C_12,Coal,19,28.0
SANTAROSA_C_12,Coal,20,28.0
SANTAROSA_C_12,Coal,21,28.0
SANTAROSA_C_12,Coal,22,28.0
SANTAROSA_C_12,Coal,23,28.0
SANTAROSA_C_12,Coal,24,28.0
IRVING_C,Coal,1,16.5
IRVING_C,Coal,2,16.5
IRVING_C,Coal,3,16.5
IRVING_C,Coal,4,16.5
IRVING_C,Coal,5,16.5
IRVING_C,Coal,6,16.5
IRVING_C,Coal,7,16.5
IRVING_C,Coal,8,16.5
IRVING_C,Coal,9,16.5
IRVING_C,Coal,10,16.5
IRVING_C,Coal,11,16.5
IRVING_C,Coal,12,16.5
IRVING_C,Coal,13,16.5
IRVING_C,Coal,14,16.5
IRVING_C,Coal,15,16.5
IRVING_C,Coal,16,16.5
IRVING_C,Coal,17,16.5
IRVING_C,Coal,18,16.5
IRVING_C,Coal,19,16.5
IRVING_C,Coal,20,16.5
IRVING_C,Coal,21,16.5
IRVING_C,Coal,22,16.5
IRVING_C,Coal,23,16.5
IRVING_C,Coal,24,16.5
RIESEL_C,Coal,1,1008.0
RIESEL_C,Coal,2,1008.0
RIESEL_C,Coal,3,1008.0
RIESEL_C,Coal,4,1008.0
RIESEL_C,Coal,5,1008.0
RIESEL_C,Coal,6,1008.0
RIESEL_C,Coal,7,1008.0
RIESEL_C,Coal,8,1008.0
RIESEL_C,Coal,9,1008.0
RIESEL_C,Coal,10,1008.0
RIESEL_C,Coal,11,1008.0
RIESEL_C,Coal,12,1008.0
RIESEL_C,Coal,13,1008.0
RIESEL_C,Coal,14,1008.0
RIESEL_C,Coal,15,1008.0
RIESEL_C,Coal,16,1008.0
RIESEL_C,Coal,17,1008.0
RIESEL_C,Coal,18,1008.0
RIESEL_C,Coal,19,1008.0
RIESEL_C,Coal,20,1008.0
RIESEL_C,Coal,21,1008.0
RIESEL_C,Coal,22,1008.0
RIESEL_C,Coal,23,1008.0
RIESEL_C,Coal,24,1008.0
LAGRANGE_C,Coal,1,1689.9900000000002
LAGRANGE_C,Coal,2,1689.9900000000002
LAGRANGE_C,Coal,3,1689.9900000000002
LAGRANGE_C,Coal,4,1689.9900000000002
LAGRANGE_C,Coal,5,1689.9900000000002
LAGRANGE_C,Coal,6,1689.9900000000002
LAGRANGE_C,Coal,7,1689.9900000000002
LAGRANGE_C,Coal,8,1689.9900000000002
LAGRANGE_C,Coal,9,1689.9900000000002
LAGRANGE_C,Coal,10,1689.9900000000002
LAGRANGE_C,Coal,11,1689.9900000000002
LAGRANGE_C,Coal,12,1689.9900000000002
LAGRANGE_C,Coal,13,1689.9900000000002
LAGRANGE_C,Coal,14,1689.9900000000002
LAGRANGE_C,Coal,15,1689.9900000000002
LAGRANGE_C,Coal,16,1689.9900000000002
LAGRANGE_C,Coal,17,1689.9900000000002
LAGRANGE_C,Coal,18,1689.9900000000002
LAGRANGE_C,Coal,19,1689.9900000000002
LAGRANGE_C,Coal,20,1689.9900000000002
LAGRANGE_C,Coal,21,1689.9900000000002
LAGRANGE_C,Coal,22,1689.9900000000002
LAGRANGE_C,Coal,23,1689.9900000000002
LAGRANGE_C,Coal,24,1689.9900000000002
ROCKDALE_C,Coal,1,1252.1
ROCKDALE_C,Coal,2,1252.1
ROCKDALE_C,Coal,3,1252.1
